|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
48|350420 Auriflama|2020|350420|Auriflama|2440|2967|6787|3059|7678|7575|15253|33786.68|50.23||14090.83|17.75||3.0|2.0|5.0|12.0|15.0||27.0|27.0|30.0|||||
49|350430 Avaí|2020|350430|Avaí|1169|1254|2204|809|2682|2754|5436|837.25|0.0||2134.92|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
50|350440 Avanhandava|2020|350440|Avanhandava|2713|3556|6112|1478|8297|5562|13859|3331.9|14.72||5717.58|0.83||2.0|0.0|2.0|10.0|3.0||14.5|15.5|16.5|||||
51|350450 Avaré|2020|350450|Avaré|17923|19087|38643|15579|45269|45963|91232|507540.47|9967.53||51176.42|728.25||22.5|36.0|58.5|34.5|66.5||240.0|257.0|260.0|||||
52|350460 Bady Bassitt|2020|350460|Bady Bassitt|3255|3836|7789|2881|8762|8999|17761|26570.87|89.97||17558.33|16.5||4.0|0.0|4.0|5.0|4.0||10.0|11.0|12.0|||||
53|350470 Balbinos|2020|350470|Balbinos|144|775|4838|177|5600|334|5934|0.0|||646.58|||1.0|0.0|1.0|5.0|0.0||4.0|4.0|5.0|||||
54|350480 Bálsamo|2020|350480|Bálsamo|1526|1683|4040|1890|4445|4694|9139|235.79|37.4||529.67|14.67||3.0|0.0|3.0|4.0|1.0||4.0|4.0|5.0|||||
55|350490 Bananal|2020|350490|Bananal|2316|2296|4429|1952|5450|5543|10993|27168.12|7.55||4409.5|2.67||2.0|0.0|2.0|10.0|0.5||8.0|9.5|11.5|||||
56|350500 Barão de Antonina|2020|350500|Barão de Antonina|771|690|1379|658|1795|1703|3498|0.0|0.0||31.92|0.0||1.0|0.0|1.0|4.0|0.0||2.0|2.0|4.0|||||
57|350510 Barbosa|2020|350510|Barbosa|1528|1636|3106|1198|3824|3644|7468|10450.8|||11706.17|||1.5|0.0|1.5|3.0|0.0||1.0|1.0|3.0|||||
58|350520 Bariri|2020|350520|Bariri|6771|7644|14709|6434|17932|17626|35558|59670.79|177.15||22157.17|62.25||4.0|3.0|7.0|10.5|20.0||61.0|66.0|67.0|||||
59|350530 Barra Bonita|2020|350530|Barra Bonita|5642|6718|16624|7142|17447|18679|36126|52092.65|16.88||14770.0|590.92||5.0|16.0|21.0|13.0|29.5||95.5|97.5|99.5|||||
60|350535 Barra do Chapéu|2020|350535|Barra do Chapéu|1357|1239|2302|862|3037|2723|5760|225.11|0.0||140.42|0.0||1.0|0.0|1.0|7.0|0.0||4.0|4.0|7.0|||||
61|350540 Barra do Turvo|2020|350540|Barra do Turvo|1822|1550|2870|1390|3967|3665|7632|19779.29|9.2||6758.67|3.25||1.0|0.0|1.0|8.0|0.0||7.0|7.0|8.0|||||
62|350550 Barretos|2020|350550|Barretos|22603|24890|54150|21190|59407|63426|122833|6253533.04|25748.2||174918.58|2627.75||46.5|28.5|75.0|46.0|110.5||284.0|316.0|329.0|||||
