|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
7501|353600 Parapuã|2009|353600|Parapuã|2250|2581|4450|1853|5684|5450|11134|16503.91|37.73||11467.0|13.33||1.0|0.0|1.0|4.0|1.0|5.0|5.0|5.0|5.0|0.02|185310.133|2554.0|2.5|1160.0
7502|353610 Pardinho|2009|353610|Pardinho|1487|1375|2117|656|2878|2757|5635|5264.11|11.32||4163.58|4.0||1.0|0.0|1.0|2.0|1.0|3.0|2.0|2.0|3.0|0.01|122632.195|1858.0|2.0|904.22
7503|353620 Pariquera-Açu|2009|353620|Pariquera-Açu|4896|4799|6857|2267|9344|9475|18819|263242.04|124.76||23721.67|44.08||1.5|0.5|2.0|7.5|5.0|12.5|12.0|12.0|12.5|0.03|282700.91|3630.0|3.3|1515.24
7504|353625 Parisi|2009|353625|Parisi|393|497|844|339|1068|1005|2073|2821.85|0.0||5726.67|0.0||1.0|0.0|1.0|1.5|0.0|1.5|1.0|1.0|1.5|0.0|23264.848|206.0|2.3|1069.7
7505|353630 Patrocínio Paulista|2009|353630|Patrocínio Paulista|3247|3393|5036|1487|6685|6478|13163|30695.91|868.87|0.0|16494.92|305.83|0.0|2.0|0.0|2.0|6.0|3.0|9.0|8.0|9.0|9.0|0.03|319664.338|1986.0|2.8|1282.39
7506|353640 Paulicéia|2009|353640|Paulicéia|1617|1675|2422|678|3313|3079|6392|1221.32|||6937.33|||1.0|0.0|1.0|2.0|1.0|3.0|3.0|3.0|3.0|0.01|64660.358|1322.0|2.2|1036.11
7507|353650 Paulínia|2009|353650|Paulínia|19206|21649|33754|6523|40234|40898|81132|236905.97|2534.37||87002.33|697.75||16.5|8.5|25.0|22.0|84.0|106.0|90.0|103.0|106.0|1.12|12607665.514|38534.0|6.2|2845.55
7508|353657 Paulistânia|2009|353657|Paulistânia|429|441|712|241|941|882|1823|304.59|||1562.58||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|19553.696|108.0|2.1|948.13
7509|353660 Paulo de Faria|2009|353660|Paulo de Faria|2021|2235|3370|1162|4398|4390|8788|3531.31|31.6||4589.08|11.17|||||1.0|3.0|4.0|4.0|4.0|4.0|0.01|137237.217|720.0|2.3|1065.96
7510|353670 Pederneiras|2009|353670|Pederneiras|10219|10950|16208|4657|21157|20877|42034|93538.35|28732.41||157431.33|1914.08||4.0|0.0|4.0|13.0|37.0|50.0|48.0|50.0|50.0|0.09|1035549.273|8766.0|3.0|1383.94
7511|353680 Pedra Bela|2009|353680|Pedra Bela|1313|1435|2318|838|3100|2804|5904|5670.94|||7156.0|||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.0|41756.295|495.0|1.8|812.69
7512|353690 Pedranópolis|2009|353690|Pedranópolis|510|565|1114|449|1352|1286|2638|1692.93|177.05||3716.58|69.33||1.0|0.0|1.0|3.5|0.0|3.5|3.0|3.0|3.5|0.0|36308.013|391.0|2.2|1013.68
7513|353700 Pedregulho|2009|353700|Pedregulho|3885|4328|5975|1827|8157|7858|16015|34887.28|76.17||11328.08|26.92||1.0|0.0|1.0|9.0|9.0|18.0|15.0|18.0|18.0|0.05|538295.21|2413.0|2.7|1265.52
7514|353710 Pedreira|2009|353710|Pedreira|8864|11071|17278|4740|20816|21137|41953|108606.1|2033.04||30782.08|411.75||6.0|6.5|12.5|8.5|19.0|27.5|26.0|27.0|27.5|0.06|710967.084|12339.0|2.4|1116.67
7515|353715 Pedrinhas Paulista|2009|353715|Pedrinhas Paulista|658|698|1252|396|1495|1509|3004|7848.48|16.51||6118.75|5.83||2.0|0.0|2.0|3.5|4.0|7.5|6.0|6.0|7.5|0.0|53428.369|404.0|2.4|1116.94
7516|353720 Pedro de Toledo|2009|353720|Pedro de Toledo|2916|2362|3730|1346|5241|5113|10354|18092.22|442.8||13893.67|169.83||1.0|0.0|1.0|4.0|0.0|4.0|4.0|4.0|4.0|0.01|81317.0|680.0|2.4|1094.4
7517|353730 Penápolis|2009|353730|Penápolis|12450|14403|24100|8609|29112|30450|59562|263441.77|52481.54||133400.83|3542.33||11.0|6.5|17.5|19.0|118.5|137.5|129.0|135.5|137.5|0.07|822517.002|13003.0|2.2|1015.81
7518|353740 Pereira Barreto|2009|353740|Pereira Barreto|5628|6143|10193|3615|12606|12973|25579|46532.21|197.79||24590.25|70.17||2.0|1.0|3.0|11.5|19.0|30.5|25.0|27.5|30.5|0.03|367287.788|4132.0|2.8|1286.45
7519|353750 Pereiras|2009|353750|Pereiras|1769|1921|2830|996|3823|3693|7516|817.21|0.0||9889.08|0.0||1.0|0.0|1.0|4.5|3.0|7.5|7.0|7.0|7.5|0.01|167247.72|1696.0|2.5|1154.82
7520|353760 Peruíbe|2009|353760|Peruíbe|15681|13797|22373|8568|29551|30868|60419|167759.16|719.58||64350.58|246.0||4.0|4.0|8.0|16.5|20.0|36.5|29.0|35.0|36.5|0.05|574119.68|6659.0|2.4|1095.58
7521|353770 Piacatu|2009|353770|Piacatu|1143|1354|2075|780|2699|2653|5352|1662.33|0.0||7091.5|0.0||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.01|68978.716|645.0|1.8|839.03
7522|353780 Piedade|2009|353780|Piedade|12825|13429|20583|6385|27225|25997|53222|33486.85|68.39||41064.5|24.17||5.0|3.0|8.0|9.5|16.0|25.5|24.0|25.5|25.5|0.05|548294.499|5856.0|2.3|1080.77
7523|353790 Pilar do Sul|2009|353790|Pilar do Sul|6832|6997|9919|3063|13649|13162|26811|33787.75|29.48||16059.33|10.42||4.0|0.0|4.0|8.0|5.0|13.0|11.0|12.0|13.0|0.02|218567.006|3984.0|2.0|938.82
7524|353800 Pindamonhangaba|2009|353800|Pindamonhangaba|36153|39455|58563|14364|73213|75322|148535|396480.8|237.96||78873.42|84.08||9.0|6.0|15.0|31.5|207.5|239.0|219.5|237.5|239.0|0.33|3673848.48|26365.0|4.1|1909.28
7525|353810 Pindorama|2009|353810|Pindorama|3033|3802|6054|2329|7779|7439|15218|9315.91|106.99||31538.67|38.08||3.0|0.0|3.0|5.5|4.0|9.5|9.0|9.0|9.5|0.02|172004.506|2256.0|2.3|1063.57
7526|353820 Pinhalzinho|2009|353820|Pinhalzinho|2910|3152|5137|2019|6675|6543|13218|4713.57|10.38|0.0|37602.0|3.67|0.0|2.0|0.0|2.0|4.0|2.0|6.0|6.0|6.0|6.0|0.01|121571.435|1446.0|1.8|821.66
7527|353830 Piquerobi|2009|353830|Piquerobi|759|857|1453|549|1798|1820|3618|16.67|||3630.08||||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|43288.832|433.0|1.9|890.47
7528|353850 Piquete|2009|353850|Piquete|3125|3519|5919|1996|7059|7500|14559|35119.23|41.04||22592.42|14.5||1.0|0.0|1.0|5.0|3.0|8.0|7.0|8.0|8.0|0.01|80765.901|1158.0|2.5|1167.4
7529|353860 Piracaia|2009|353860|Piracaia|5832|6313|10142|3270|12767|12790|25557|39663.14|635.74||12508.75|246.58||3.0|0.0|3.0|3.5|4.0|7.5|7.0|7.0|7.5|0.02|221945.252|3423.0|2.1|970.95
7530|353870 Piracicaba|2009|353870|Piracicaba|80106|96398|149224|44291|181334|188685|370019|1332059.75|898.53||99569.25|317.5||30.0|45.0|75.0|86.5|598.0|684.5|550.5|680.5|684.5|0.97|10878372.293|111945.0|3.6|1659.04
7531|353880 Piraju|2009|353880|Piraju|6542|6959|11493|4121|14174|14941|29115|69400.34|58.55||38174.17|18.67||2.5|3.0|5.5|12.0|54.0|66.0|64.0|65.0|66.0|0.03|315624.646|4612.0|2.2|1034.83
7532|353890 Pirajuí|2009|353890|Pirajuí|4306|6673|8975|3049|12674|10329|23003|62643.96|0.47||11015.58|0.17||7.0|2.0|9.0|9.5|26.5|36.0|34.0|36.0|36.0|0.02|201351.627|2537.0|2.2|1030.77
7533|353900 Pirangi|2009|353900|Pirangi|2092|2660|4429|1645|5507|5319|10826|9939.75|1223.34||18593.67|80.17||1.0|0.0|1.0|4.5|9.0|13.5|12.0|13.0|13.5|0.01|119852.0|2192.0|2.6|1177.32
7534|353910 Pirapora do Bom Jesus|2009|353910|Pirapora do Bom Jesus|4801|4212|5644|1133|7857|7933|15790|18187.1|10.14||14459.17|3.58||2.0|0.0|2.0|6.0|1.0|7.0|6.0|6.0|7.0|0.03|357785.806|3428.0|2.1|984.62
7535|353920 Pirapozinho|2009|353920|Pirapozinho|5639|6244|10057|3104|12266|12778|25044|40094.1|20594.23|56.6|35841.08|1515.92|20.0|4.5|0.0|4.5|8.0|13.0|21.0|19.0|21.0|21.0|0.04|400245.485|3828.0|2.1|950.03
7536|353930 Pirassununga|2009|353930|Pirassununga|15179|17734|28528|9844|34946|36339|71285|235111.57|93171.67||69686.25|6141.67||12.5|3.0|15.5|26.0|119.0|145.0|137.0|145.0|145.0|0.12|1323710.037|19034.0|3.3|1515.44
7537|353940 Piratininga|2009|353940|Piratininga|2627|2975|4884|1735|6070|6151|12221|4726.14|28.06||12620.75|9.92||2.0|1.0|3.0|2.0|1.0|3.0|3.0|3.0|3.0|0.01|88213.373|1229.0|2.1|965.16
7538|353950 Pitangueiras|2009|353950|Pitangueiras|9431|10064|12866|3403|18253|17511|35764|59534.62|442.19|85.14|31291.5|167.42|30.08|9.5|1.0|10.5|12.5|22.0|34.5|31.5|34.0|34.5|0.05|553390.803|6133.0|2.8|1282.14
7539|353960 Planalto|2009|353960|Planalto|1095|1165|1769|465|2322|2172|4494|427.68|20.61||5224.5|8.08||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.01|121496.231|886.0|3.2|1460.1
7540|353970 Platina|2009|353970|Platina|817|765|1249|407|1683|1555|3238|1683.88|105.37||3204.25|41.17||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.01|56387.552|356.0|2.5|1175.26
7541|353980 Poá|2009|353980|Poá|27300|29054|42374|8878|52181|55425|107606|190944.77|2015.68||77974.92|661.17||8.0|2.0|10.0|21.0|17.0|38.0|30.0|34.0|38.0|0.29|3242732.846|35602.0|2.6|1217.8
7542|353990 Poloni|2009|353990|Poloni|1067|1379|2049|972|2712|2755|5467|2478.14|0.0||2130.83|0.0||1.0|0.5|1.5|3.0|2.5|5.5|5.5|5.5|5.5|0.01|64662.644|680.0|2.1|969.38
7543|354000 Pompéia|2009|354000|Pompéia|4327|5058|8253|2639|9960|10317|20277|91455.61|23008.93||78962.17|1530.5||5.0|11.5|16.5|10.0|57.0|67.0|57.0|66.0|67.0|0.05|607258.871|6209.0|4.2|1953.8
7544|354010 Pongaí|2009|354010|Pongaí|632|848|1492|615|1851|1736|3587|3007.53|0.0||4428.92|0.0||1.0|0.0|1.0|1.0|1.0|2.0|2.0|2.0|2.0|0.0|47025.283|378.0|2.2|1032.17
7545|354020 Pontal|2009|354020|Pontal|10617|12153|14655|2767|21093|19099|40192|76043.85|544.1|0.47|29162.08|97.42|0.17|4.0|0.5|4.5|13.0|25.0|38.0|33.0|37.0|38.0|0.05|551016.911|7658.0|2.8|1285.09
7546|354025 Pontalinda|2009|354025|Pontalinda|954|1135|1538|494|2181|1940|4121|1188.0|||5222.83|||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.0|44658.215|313.0|2.2|1019.32
7547|354030 Pontes Gestal|2009|354030|Pontes Gestal|545|620|1006|410|1293|1288|2581|499.58|0.0||3097.5|0.0|||||1.0|0.0|1.0|1.0|1.0|1.0|0.01|77959.169|1380.0|2.5|1136.23
7548|354040 Populina|2009|354040|Populina|864|1009|1733|743|2212|2137|4349|7812.65|4.48||4518.25|1.58|||||1.0|1.0|2.0|2.0|2.0|2.0|0.01|56857.684|349.0|2.3|1078.85
7549|354050 Porangaba|2009|354050|Porangaba|1868|1888|3302|1307|4313|4052|8365|856.06|0.0||6069.92|0.0|||||4.5|5.0|9.5|8.5|8.5|9.5|0.01|85768.398|894.0|2.9|1339.79
7550|354060 Porto Feliz|2009|354060|Porto Feliz|11497|13073|19599|5589|24988|24770|49758|111545.47|12600.45|80.89|44018.0|849.0|28.58|2.0|6.0|8.0|16.0|41.5|57.5|48.5|53.5|57.5|0.07|746899.862|9075.0|2.5|1144.36
7551|354070 Porto Ferreira|2009|354070|Porto Ferreira|11566|13469|20814|6420|25960|26309|52269|64837.87|133.66||35654.58|52.42||2.0|2.5|4.5|14.0|94.5|108.5|106.5|107.5|108.5|0.09|995176.151|13479.0|2.4|1104.03
7552|354075 Potim|2009|354075|Potim|4763|6193|7008|1339|10816|8487|19303|24214.95|0.0||74160.58|0.0||2.5|0.0|2.5|3.5|0.0|3.5|3.5|3.5|3.5|0.01|104833.704|1010.0|2.0|934.24
7553|354080 Potirendaba|2009|354080|Potirendaba|3023|3994|6262|2372|7964|7687|15651|30689.47|17.45||17843.33|6.17||1.0|0.0|1.0|7.0|10.5|17.5|15.5|16.5|17.5|0.02|275110.384|2579.0|2.0|912.59
7554|354085 Pracinha|2009|354085|Pracinha|403|1166|980|239|1977|811|2788|2861.16|231.62||4844.25|90.83||2.0|0.0|2.0|2.0|0.0|2.0|2.0|2.0|2.0|0.0|17155.677|181.0|1.8|846.4
7555|354090 Pradópolis|2009|354090|Pradópolis|4090|5048|6634|1593|8875|8490|17365|18738.77|0.0|0.0|6089.25|0.0|0.0|1.0|0.0|1.0|6.0|6.5|12.5|12.5|12.5|12.5|0.03|302020.439|5937.0|2.8|1299.53
7556|354100 Praia Grande|2009|354100|Praia Grande|64981|64689|101075|31001|126119|135627|261746|590864.71|6921.89|0.0|258303.17|607.33|0.0|20.0|4.5|24.5|37.0|82.5|119.5|100.5|118.0|119.5|0.25|2791997.611|35549.0|2.5|1137.33
7557|354105 Pratânia|2009|354105|Pratânia|1225|1264|1730|429|2400|2248|4648|0.0|||2261.33|||1.0|0.0|1.0|2.0|2.0|4.0|3.0|3.0|4.0|0.01|93923.851|449.0|2.2|1005.52
7558|354110 Presidente Alves|2009|354110|Presidente Alves|914|1064|1677|588|2104|2139|4243|1032.5|||2450.42||||||2.0|0.0|2.0|2.0|2.0|2.0|0.0|54059.977|1439.0|2.4|1125.19
7559|354120 Presidente Bernardes|2009|354120|Presidente Bernardes|2630|3278|5744|2357|6947|7062|14009|29993.76|269.59|126.64|16033.92|95.92|44.75|8.0|0.0|8.0|9.0|12.0|21.0|21.0|21.0|21.0|0.01|154683.849|1710.0|1.8|852.99
7560|354130 Presidente Epitácio|2009|354130|Presidente Epitácio|9936|10639|16639|4917|20667|21464|42131|87572.12|104.71||35095.75|37.0||3.0|1.0|4.0|11.5|24.0|35.5|34.0|34.5|35.5|0.05|612482.379|6364.0|2.2|1013.42
7561|354140 Presidente Prudente|2009|354140|Presidente Prudente|44180|51996|87289|27418|101656|109227|210883|1780874.75|51817.21|0.0|173402.25|4366.0|0.0|43.0|31.5|74.5|43.0|506.0|549.0|487.5|545.0|549.0|0.36|4037848.035|59201.0|2.7|1265.59
7562|354150 Presidente Venceslau|2009|354150|Presidente Venceslau|7598|9212|16436|5536|19371|19411|38782|149320.87|66682.64|96.93|33317.0|4652.08|34.25|9.0|0.0|9.0|12.0|38.5|50.5|49.5|49.5|50.5|0.04|406462.105|4917.0|2.1|954.26
7563|354160 Promissão|2009|354160|Promissão|8362|9141|14096|4500|18016|18083|36099|112029.5|84.43|0.0|27390.58|29.83|0.0|5.0|1.0|6.0|17.5|35.0|52.5|44.0|50.0|52.5|0.09|977005.543|10597.0|2.6|1182.5
7564|354165 Quadra|2009|354165|Quadra|772|753|1311|422|1714|1544|3258|219.38|0.0||2686.75|0.0||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.01|95885.03|314.0|2.7|1262.02
7565|354170 Quatá|2009|354170|Quatá|3105|3322|5079|1494|6497|6503|13000|19465.21|325.76||17638.67|126.75||2.5|3.0|5.5|6.0|12.0|18.0|17.0|18.0|18.0|0.02|225606.674|3820.0|2.6|1206.47
7566|354180 Queiroz|2009|354180|Queiroz|766|727|1005|317|1436|1379|2815|20.83|||3945.83|||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.01|153731.704|770.0|2.6|1199.45
7567|354190 Queluz|2009|354190|Queluz|2816|3036|4373|1145|5780|5590|11370|40224.4|417.68||15389.58|161.58||2.0|0.0|2.0|3.5|0.0|3.5|3.0|3.0|3.5|0.01|90395.399|2157.0|3.4|1550.62
7568|354200 Quintana|2009|354200|Quintana|1328|1552|2365|851|3018|3078|6096|3955.6|||11112.58|||1.0|0.0|1.0|4.0|1.0|5.0|4.0|5.0|5.0|0.01|62878.667|753.0|2.4|1114.2
7569|354210 Rafard|2009|354210|Rafard|2002|2308|3412|1076|4358|4440|8798|9102.22|43.94||6906.08|16.83||1.0|0.0|1.0|3.0|0.0|3.0|3.0|3.0|3.0|0.02|181995.476|3152.0|2.2|1004.54
7570|354220 Rancharia|2009|354220|Rancharia|6578|7250|11728|3950|14525|14981|29506|142260.53|35580.08|23.82|45380.58|2343.92|8.42|8.0|0.0|8.0|7.0|32.0|39.0|37.0|39.0|39.0|0.05|524748.979|4687.0|2.3|1053.13
7571|354230 Redenção da Serra|2009|354230|Redenção da Serra|974|890|1542|579|2085|1900|3985|1315.83|0.0||5956.83|0.0||1.0|0.0|1.0|2.0|1.0|3.0|3.0|3.0|3.0|0.0|39525.066|394.0|2.4|1105.54
7572|354240 Regente Feijó|2009|354240|Regente Feijó|4086|4589|7658|2467|9352|9448|18800|48048.12|405.94||35748.42|141.67||3.0|1.0|4.0|10.0|6.0|16.0|14.0|14.0|16.0|0.03|361643.704|4122.0|2.1|981.09
7573|354250 Reginópolis|2009|354250|Reginópolis|1252|2820|2340|837|4529|2720|7249|1210.2|||5802.25|||3.0|0.0|3.0|3.0|2.0|5.0|5.0|5.0|5.0|0.01|85809.089|1012.0|2.0|940.77
7574|354260 Registro|2009|354260|Registro|14453|13841|20912|6333|27356|28183|55539|158574.22|33778.49||40234.0|2555.0||7.5|1.5|9.0|18.0|69.0|87.0|75.5|85.5|87.0|0.06|629100.377|9464.0|2.4|1109.14
7575|354270 Restinga|2009|354270|Restinga|1863|1785|2421|580|3337|3312|6649|3948.68|201.33||9725.58|74.58||1.0|0.0|1.0|3.0|0.0|3.0|2.0|3.0|3.0|0.01|102262.174|865.0|2.0|927.23
7576|354280 Ribeira|2009|354280|Ribeira|928|765|1228|533|1792|1662|3454|16.67|||3939.0||||||3.0|0.0|3.0|2.0|2.0|3.0|0.0|23933.358|393.0|1.9|887.57
7577|354290 Ribeirão Bonito|2009|354290|Ribeirão Bonito|3074|3251|4554|1466|6217|6128|12345|8549.73|155.29||11745.42|59.25||1.0|0.5|1.5|6.0|14.0|20.0|19.0|20.0|20.0|0.01|154213.243|1494.0|2.6|1185.44
7578|354300 Ribeirão Branco|2009|354300|Ribeirão Branco|5933|5003|6378|1693|9798|9209|19007|19384.88|63.91||20893.25|22.58||1.0|0.0|1.0|9.0|1.0|10.0|9.0|9.0|10.0|0.02|225955.415|1469.0|2.0|912.2
7579|354310 Ribeirão Corrente|2009|354310|Ribeirão Corrente|1162|1140|1592|445|2255|2084|4339|3769.52|329.21||14351.0|68.75||2.0|0.0|2.0|2.0|0.0|2.0|1.0|2.0|2.0|0.01|63852.505|278.0|2.1|989.62
7580|354320 Ribeirão do Sul|2009|354320|Ribeirão do Sul|1000|1025|1855|680|2286|2274|4560|5631.06|0.0||11284.17|0.0||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.01|61099.416|612.0|1.9|858.77
7581|354323 Ribeirão dos Índios|2009|354323|Ribeirão dos Índios|460|472|913|399|1122|1122|2244|1446.09|0.0||3558.75|0.0||1.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.0|21445.181|209.0|2.1|990.78
7582|354325 Ribeirão Grande|2009|354325|Ribeirão Grande|1931|1951|2799|919|3886|3714|7600|956.88|4.25||5157.42|1.67|||||2.0|2.0|4.0|3.0|3.0|4.0|0.02|179590.704|990.0|2.8|1292.37
7583|354330 Ribeirão Pires|2009|354330|Ribeirão Pires|25314|29986|47838|11857|56362|58633|114995|592021.33|117390.86||77277.42|8226.33||23.5|21.0|44.5|18.0|68.5|86.5|65.5|85.5|86.5|0.13|1437652.193|22198.0|2.8|1296.15
7584|354340 Ribeirão Preto|2009|354340|Ribeirão Preto|126125|163837|245756|73975|293015|316678|609693|5253433.02|149100.6|499.26|428819.67|10638.67|176.42|113.0|93.0|206.0|124.5|985.0|1109.5|936.5|1102.5|1109.5|1.37|15464899.336|182344.0|3.2|1495.23
7585|354360 Rifaina|2009|354360|Rifaina|768|820|1421|500|1763|1746|3509|4382.66|0.0||7203.83|0.0|||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|42245.691|390.0|2.1|969.26
7586|354370 Rincão|2009|354370|Rincão|2677|2758|3996|1230|5377|5284|10661|3130.08|0.0||11104.75|0.0|||||4.0|4.5|8.5|8.5|8.5|8.5|0.01|89227.492|1296.0|2.5|1164.35
7587|354380 Rinópolis|2009|354380|Rinópolis|2050|2480|3950|1730|5209|5001|10210|14631.34|30.83||57611.75|11.25||1.0|0.0|1.0|3.0|4.0|7.0|7.0|7.0|7.0|0.01|94686.306|868.0|2.2|1017.05
7588|354390 Rio Claro|2009|354390|Rio Claro|39495|48382|76733|24432|92173|96869|189042|565198.77|1895.53||174071.83|547.75||28.0|17.0|45.0|34.0|261.5|295.5|228.5|290.5|295.5|0.45|5090005.2|56100.0|3.3|1539.52
7589|354400 Rio das Pedras|2009|354400|Rio das Pedras|7240|8309|11378|2706|14996|14637|29633|91602.17|11.32|11.32|13651.67|4.0|4.0|2.0|1.0|3.0|8.0|58.5|66.5|60.5|65.5|66.5|0.06|682516.44|8267.0|2.8|1288.35
7590|354410 Rio Grande da Serra|2009|354410|Rio Grande da Serra|11785|12267|17030|3293|22035|22340|44375|20731.92|0.0||34171.42|0.0||4.0|2.0|6.0|9.0|5.0|14.0|11.0|13.0|14.0|0.03|337363.14|3392.0|3.3|1512.03
7591|354420 Riolândia|2009|354420|Riolândia|2347|3088|4089|1112|6034|4602|10636|12940.79|170.27||9010.83|60.17||3.0|0.0|3.0|3.0|1.5|4.5|3.5|4.5|4.5|0.01|128908.608|584.0|2.1|985.8
7592|354350 Riversul|2009|354350|Riversul|1604|1465|2362|984|3183|3232|6415|12406.97|160.86||9071.0|63.08||1.0|0.0|1.0|3.0|1.0|4.0|3.0|3.0|4.0|0.0|36116.449|399.0|1.8|848.99
7593|354425 Rosana|2009|354425|Rosana|5279|5199|8060|2080|10267|10351|20618|82607.71|494.74||32918.17|184.67||1.5|2.5|4.0|12.0|20.0|32.0|30.0|31.0|32.0|0.07|733825.861|1989.0|2.5|1173.57
7594|354430 Roseira|2009|354430|Roseira|2369|2609|3855|901|4919|4815|9734|8475.53|||14530.92|||1.0|1.0|2.0|4.0|1.0|5.0|4.0|5.0|5.0|0.01|148616.077|1798.0|2.0|940.07
7595|354440 Rubiácea|2009|354440|Rubiácea|650|717|1064|327|1409|1349|2758|333.48|0.0||1011.75|0.0|||||2.0|0.0|2.0|2.0|2.0|2.0|0.01|68363.04|158.0|2.7|1255.39
7596|354450 Rubinéia|2009|354450|Rubinéia|571|598|1205|534|1445|1463|2908|2524.09|4.46||5283.58|1.75||1.0|0.0|1.0|2.5|0.0|2.5|2.0|2.0|2.5|0.0|45311.117|353.0|2.3|1054.53
7597|354460 Sabino|2009|354460|Sabino|1127|1275|2059|858|2672|2647|5319|76.98|||4789.42||||||1.0|3.0|4.0|2.0|4.0|4.0|0.01|81366.51|461.0|2.3|1041.75
7598|354470 Sagres|2009|354470|Sagres|555|578|950|375|1228|1230|2458|630.91|0.0||2157.58|0.0|||||1.0|0.0|1.0|1.0|1.0|1.0|0.0|24982.15|341.0|1.9|861.69
7599|354480 Sales|2009|354480|Sales|1195|1290|2188|824|2812|2685|5497|2190.24|400.28||8351.33|140.08||2.0|0.0|2.0|1.5|0.0|1.5|1.0|1.0|1.5|0.01|58389.991|544.0|2.1|976.58
7600|354490 Sales Oliveira|2009|354490|Sales Oliveira|2313|2731|4269|1392|5316|5389|10705|21650.49|25.0||13867.5|8.83||1.0|0.0|1.0|4.0|15.0|19.0|19.0|19.0|19.0|0.02|180261.79|1508.0|2.9|1355.99
7601|354500 Salesópolis|2009|354500|Salesópolis|4085|3899|6012|1896|8041|7851|15892|69193.4|1.89||11977.58|0.67||1.0|0.0|1.0|6.0|2.0|8.0|5.0|5.0|8.0|0.01|123798.906|1244.0|2.1|978.3
7602|354510 Salmourão|2009|354510|Salmourão|1127|1199|1872|697|2517|2378|4895|2684.45|||4480.92||||||1.0|0.0|1.0|1.0|1.0|1.0|0.01|60004.909|289.0|2.1|984.09
7603|354515 Saltinho|2009|354515|Saltinho|1381|1816|2970|941|3549|3559|7108|11544.19|26.65||8203.42|9.42||1.0|0.0|1.0|1.0|0.5|1.5|1.5|1.5|1.5|0.01|112286.016|1354.0|2.7|1249.78
7604|354520 Salto|2009|354520|Salto|24291|28575|43149|10871|52910|53976|106886|217275.6|3253.6||89474.5|1066.58||10.5|8.0|18.5|21.0|87.0|108.0|95.0|106.5|108.0|0.26|2954422.289|25887.0|3.1|1437.43
7605|354530 Salto de Pirapora|2009|354530|Salto de Pirapora|10033|10540|15584|4460|20226|20391|40617|142005.49|1050.84||38644.5|364.92||9.0|1.0|10.0|9.0|27.5|36.5|32.5|36.5|36.5|0.08|845773.347|5053.0|3.1|1429.82
7606|354540 Salto Grande|2009|354540|Salto Grande|2146|2090|3440|1293|4457|4512|8969|22547.43|214.59||10463.83|74.0||1.0|0.0|1.0|1.0|1.0|2.0|2.0|2.0|2.0|0.01|114613.0|1105.0|2.6|1185.49
7607|354550 Sandovalina|2009|354550|Sandovalina|994|933|1430|373|1898|1832|3730|2320.09|||5826.25|||1.0|0.0|1.0|2.0|0.0|2.0|2.0|2.0|2.0|0.02|217353.838|507.0|2.5|1154.63
7608|354560 Santa Adélia|2009|354560|Santa Adélia|3209|3661|5765|1962|7311|7286|14597|2807.68|269.63||9496.83|105.5||3.0|0.0|3.0|6.5|7.0|13.5|12.0|13.0|13.5|0.02|197785.363|2659.0|2.8|1287.61
7609|354570 Santa Albertina|2009|354570|Santa Albertina|1063|1379|2353|1055|2974|2876|5850|1593.18|33.49||5076.42|11.83||1.0|0.0|1.0|2.0|2.0|4.0|4.0|4.0|4.0|0.01|59383.258|890.0|2.9|1320.37
7610|354580 Santa Bárbara d'Oeste|2009|354580|Santa Bárbara d'Oeste|38319|49317|77004|18800|91040|92400|183440|671649.05|125810.16||149458.83|8393.83||8.0|3.0|11.0|21.0|149.5|170.5|154.0|167.5|170.5|0.26|2971231.181|39825.0|2.8|1313.19
7611|354600 Santa Branca|2009|354600|Santa Branca|3295|3391|5581|1759|7021|7005|14026|3833.22|141.47|21.93|9316.25|30.83|7.75|1.5|0.0|1.5|5.0|5.0|10.0|9.0|10.0|10.0|0.02|192193.647|1792.0|2.8|1310.95
7612|354610 Santa Clara d'Oeste|2009|354610|Santa Clara d'Oeste|424|506|851|358|1103|1036|2139|1679.36|0.0||1337.58|0.0|||||2.0|0.0|2.0|1.0|2.0|2.0|0.0|31219.442|265.0|2.4|1099.97
