|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
188|292862.11|2233.78|24.0|351630|351630 Francisco Morato|2571.99|6.5|9112.0|59.0|19.0|35.0|0.07|44140|88294|2.2|44927|62.5|Francisco Morato|18681|1517245.4|69.0|177633|623.0|2020|89339|69885|71479.25|12.5
189|951806.6|2498.84|52.5|351640|351640 Franco da Rocha|262.11|8.0|17150.0|87.5|70.0|35.0|0.14|35157|79623|2.5|38478|83.5|Franco da Rocha|16643|2995316.152|95.5|156492|256.17|2020|76869|66214|100229.75|62.0
210|697840.57|3006.31|38.0|351840|351840 Guaratinguetá|155.38|52.0|30558.0|173.0|65.0|135.0|0.26|21870|58868|3.0|25100|320.0|Guaratinguetá|21730|5672184.125|339.5|122505|54.67|2020|63637|53805|33802.0|13.0
213|1425797.28|2973.94|61.5|351870|351870 Guarujá|2997.72|33.5|46773.0|193.0|75.0|131.5|0.39|70665|156697|3.0|74145|345.5|Guarujá|43718|8599008.831|356.5|322750|1378.0|2020|166053|134222|175551.17|41.5
214|3144742.99|3080.77|154.0|351880|351880 Guarulhos|25720.73|116.0|333738.0|453.0|282.0|299.0|2.77|304930|676499|3.1|335282|432.0|Guarulhos|169652|61325724.48899999|563.0|1392121|12336.08|2020|715622|582257|364970.67|166.0
219|715829.65|4004.89|52.0|351907|351907 Hortolândia|103.4|17.0|46222.0|132.5|43.5|80.5|0.59|48207|120044|4.0|57258|159.0|Hortolândia|27908|13116393.02|175.0|234259|1985.58|2020|114215|100886|121181.0|26.5
237|803932.86|3386.3|38.0|352050|352050 Indaiatuba|99306.91|55.5|77260.0|213.5|94.0|175.5|0.71|49508|127876|3.4|57421|328.5|Indaiatuba|35797|15596305.246|370.5|256223|24399.58|2020|128347|113497|123211.0|38.5
254|259614.6|2268.59|35.0|352210|352210 Itanhaém|850.91|6.0|14661.0|68.5|28.0|33.5|0.09|22286|49297|2.3|20053|62.5|Itanhaém|20397|1885630.928|77.5|103102|1707.25|2020|53805|40366|80373.33|22.0
256|926575.37|2474.98|23.5|352220|352220 Itapecerica da Serra|0.0|24.5|22963.0|53.0|36.5|29.5|0.17|40276|90074|2.5|43803|51.5|Itapecerica da Serra|19434|3660938.18|62.5|177662|388.25|2020|87588|74149|136001.25|12.0
257|783897.27|2145.02|58.0|352230|352230 Itapetininga|178.29|55.0|33323.0|166.0|89.0|108.0|0.22|34625|83120|2.1|38067|376.5|Itapetininga|24438|4754148.451|400.5|165526|570.67|2020|82406|68396|46836.08|34.0
