|Atendimentos_valor_medio|Estabelecimentos_Atend_1000|Estabelecimentos_Privados_1000|Profissionais_Privados_1000|Estabelecimentos_Publicos_1000|Renda média (R$)|Profissionais_Publicos_Prop|Estabelecimentos_Psi_Prop|Estabelecimentos_Publicos|Município|Psi_valor_medio|Estabelecimentos_Atend_Prop|Assalariados|Profissionais_Privados|Estabelecimentos_Total|Estabelecimentos_Psi_1000|Profissionais_Total_1000|Profissionais_Publicos_1000|Atendimentos_valor_medio_1000|Profissionais_Total|Estabelecimentos_Privados|Estabelecimentos_Privados_Prop|60+ anos_1000|Profissionais_Publicos|Contribuição para o PIB estadual %|0 a 14 anos|Assalariados_1000|Masculino|Psi_valor_medio_1000|Psi_qtd_media_1000|Masculino_1000|Profissionais_Privados_Prop|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Publicos_Prop|Estabelecimentos_Psi|Feminino_1000|Cidades|60+ anos|0 a 14 anos_1000|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|15 a 29 anos_1000|Psi_qtd_media|PIB (mil R$)_1000|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media_1000|Estabelecimentos_Total_1000|30 a 59 anos_1000|Atendimentos_qtd_media|Code
3089|329427.36|1.365966193420813|0.49434966999991325|0.18646522640347607|0.21682003070171635|2474.01|0.38571428571428573|0.47058823529411764|25.0|354520 Salto|3155.13|0.5294117647058824|28872.0|21.5|82.0|1.2141921719296116|0.3035480429824029|0.11708281657892683|2857.0580123674144|35.0|57.0|0.6951219512195121|0.13042158486769642|13.5|0.3|22770|250.40111705679817|56854|27.363815338716254|11.291293374847141|0.49308344102061524|0.6142857142857143|2.8|27740|0.3048780487804878|140.0|0.5069165589793847|Salto|15038|0.19747968396312324|6037530.555|157.5|115303|0.24058350606662446|1301.92|52362.30241190602|2016|58449|49755|775.9006270435289|0.7111697007016297|0.43151522510255585|89463.67|354520
3095|911218.96|1.3561580593037166|0.3042830461880679|0.0786938912555348|0.13902587455144483|2393.01|0.5774647887323944|0.4835164835164835|26.5|354580 Santa Bárbara d'Oeste|142884.67|0.5164835164835165|44646.0|15.0|84.5|1.2695947789226283|0.1862422093047657|0.1075483180492309|4780.491049881434|35.5|58.0|0.6863905325443787|0.13920424737162404|20.5|0.26|34861|234.22449793297378|94396|749.6100455375318|49.451660965731435|0.49522590393049754|0.4225352112676056|2.7|44383|0.3136094674556213|242.0|0.5047740960695024|Santa Bárbara d'Oeste|26534|0.1828898495372799|5375127.208|258.5|190612|0.2328447317062934|9426.08|28199.311732734557|2016|96216|84834|870.6219965164837|0.4433089207395127|0.4450611713848026|165951.0|354580
3114|852670.62|0.2873210947316804|0.1187593858224279|0.0|0.15323791719022956|2797.9|1.0|0.47183098591549294|20.0|354730 Santana de Parnaíba|2455.44|0.528169014084507|57191.0|0.0|35.5|0.2566735112936345|0.24134971957461154|0.24134971957461154|6533.073492905085|31.5|15.5|0.43661971830985913|0.10797143645223574|31.5|0.41|29326|438.1914861013209|64251|18.813325569278863|13.793940972754298|0.49228447086947197|0.0|3.2|32473|0.5633802816901409|33.5|0.5077155291305281|Santana de Parnaíba|14092|0.22469275797603358|8265334.206|37.5|130516|0.2488047442459162|1800.33|63328.12993042999|2016|66265|54625|1113.5007968371694|0.27199730301265745|0.41853106132581447|145329.67|354730
3116|2725673.24|0.8013767638731757|0.5157235890421753|0.16323038561771444|0.1259406854550469|2572.72|0.44364508393285373|0.4218274111675127|89.5|354780 Santo André|5092.1|0.5781725888324873|193608.0|116.0|456.0|0.5846743553806927|0.29339254656287467|0.1301621609451602|3835.4542589059065|208.5|366.5|0.8037280701754386|0.16189499220434192|92.5|1.32|129667|272.4371422299522|341143|7.165391781068653|11.806299004294647|0.480042271041241|0.5563549160671463|2.9|154490|0.1962719298245614|415.5|0.519957728958759|Santo André|115051|0.18246202079217394|26837380.335|569.5|710652|0.21739191615586814|8390.17|37764.44776768376|2016|369509|311444|750.8763079538227|0.6416642744972223|0.438251070847616|533611.75|354780
3124|2878590.47|3.2424791373131496|0.9647618981516828|0.43957976174776914|0.22094666972058924|2887.78|0.341421143847487|0.46548436308161706|95.5|354850 Santos|40548.99|0.5345156369183829|172931.0|190.0|512.5|2.8237215748060644|0.6674671645485862|0.22788740280081715|6659.842699852626|288.5|417.0|0.8136585365853658|0.21966263410074705|98.5|1.06|70132|400.0893040989656|197874|93.81323875427722|11.704204464742233|0.457796872505674|0.658578856152513|3.3|82169|0.18634146341463415|1220.5|0.542203127494326|Santos|94945|0.16225583079418182|21708055.066|1401.5|432231|0.19010436548974968|5058.92|50223.27196799859|2016|234357|184985|970.5745770201581|1.1857085678722719|0.42797716961532145|419512.42|354850
3126|3573627.74|0.9840866434429523|0.6104136693712313|0.2507382171295586|0.12050040531954517|3570.65|0.3522012578616352|0.4022181146025878|99.0|354870 São Bernardo do Campo|9783.87|0.5977818853974122|251032.0|206.0|600.5|0.6621436413518441|0.3870619079961148|0.13632369086655616|4349.733243749194|318.0|501.5|0.8351373855120733|0.13050924201593528|112.0|2.12|162240|305.55007826440465|396890|11.908689904987257|29.08736157668086|0.48308490775024526|0.6477987421383647|4.1|192030|0.16486261448792672|544.0|0.5169150922497547|São Bernardo do Campo|107223|0.19747460362669705|43222829.05899999|808.5|821574|0.23373427104557837|23897.42|52609.78202693853|2016|424684|360081|855.6776382894298|0.7309140746907765|0.4382818833117893|703002.5|354870
3127|1367382.12|3.84469816438529|1.9996215227401755|0.41947896297230813|0.27124203620765786|3169.25|0.4388185654008439|0.41980009519276534|43.0|354880 São Caetano do Sul|52279.74|0.5801999048072346|104706.0|66.5|360.0|2.781807859711096|0.7474925881536617|0.3280136251813537|8625.383965180094|118.5|317.0|0.8805555555555555|0.21864000504636347|52.0|0.64|23742|660.4806661199773|72958|329.77821232574274|29.63842805778086|0.46021573203810007|0.5611814345991561|3.6|29687|0.11944444444444445|441.0|0.5397842679618999|São Caetano do Sul|34661|0.1497634517126096|12960847.025|609.5|158530|0.1872642402069009|4698.58|81756.43111713872|2016|85572|70440|1370.187535482243|2.270863558947833|0.444332303034126|217215.83|354880
3128|1094701.48|2.203527281961385|0.8642086551930339|0.1392563709789723|0.22731554674508714|2860.06|0.47692307692307695|0.47486578818936065|55.5|354890 São Carlos|39589.06|0.5251342118106394|71694.0|34.0|266.5|1.9925948376844123|0.2662254151068588|0.1269690441278865|4483.6516297091175|65.0|211.0|0.7917448405253283|0.15321067850618872|31.0|0.49|45567|293.6425370872482|119767|162.14790664908213|14.206525389713049|0.4905387583246639|0.5230769230769231|3.3|54764|0.20825515947467166|486.5|0.509461241675336|São Carlos|37407|0.18663220754114207|9991863.389|538.0|244154|0.22430105589095406|3468.58|40924.43043734692|2016|124387|106416|699.1519696584943|1.0915242019381208|0.4358560580617151|170700.75|354890
3130|996946.07|5.181086519114689|1.0619271182651464|0.6092108204784261|0.4583053878828527|2176.76|0.32298136645962733|0.48642659279778394|41.0|354910 São João da Boa Vista|892.16|0.5135734072022161|22394.0|54.5|136.0|4.907221104404203|0.8998435054773083|0.2906326849988822|11144.042812430136|80.5|95.0|0.6985294117647058|0.1742901855577912|26.0|0.14|15685|250.32416722557565|43258|9.972725240330874|30.46613011401744|0.4835457187569864|0.6770186335403726|2.5|18932|0.3014705882352941|439.0|0.5164542812430136|São João da Boa Vista|15592|0.1753297563156718|2787484.5510000004|463.5|89460|0.21162530739995528|2725.5|31159.004594232065|2016|46202|39251|1120.2753185781355|1.520232506147999|0.4387547507265817|100219.83|354910
3137|304251.25|2.9877364908345436|1.5444299398775487|0.41368659103862915|0.36772141425655924|2109.58|0.35714285714285715|0.4337979094076655|20.0|354970 São José do Rio Pardo|149.52|0.5662020905923345|14448.0|22.5|104.0|2.2890658037470812|0.6435124749489787|0.22982588391034953|5593.984996966299|35.0|84.0|0.8076923076923077|0.17944805015720092|12.5|0.08|9524|265.6419496589384|26766|2.7490852929820373|18.589788376326094|0.4921215686995532|0.6428571428571429|2.4|12184|0.19230769230769232|124.5|0.5078784313004467|São José do Rio Pardo|9760|0.17510893746897352|1722015.5119999999|162.5|54389|0.22401588556509588|1011.08|31661.098972218646|2016|27623|22921|999.4360992112375|1.912151354134108|0.4214271268087297|54358.33|354970
3138|5750573.19|2.2205972131840412|1.3618768407140798|0.2348063518472551|0.2079713402075688|2396.97|0.5550847457627118|0.45138121546961324|93.0|354980 São José do Rio Preto|71817.77|0.5486187845303867|130621.0|105.0|702.0|1.827017042468642|0.5277552289138305|0.2929488770665754|12859.724874043164|236.0|609.0|0.8675213675213675|0.16369357100208642|131.0|0.77|78160|292.10133794895535|215071|160.60255782385946|30.137395259595195|0.48095273236324765|0.4449152542372881|2.7|96644|0.13247863247863248|817.0|0.5190472676367524|São José do Rio Preto|73200|0.17478537581315676|15621477.242999999|993.0|447177|0.21612023874215355|13476.75|34933.5436370833|2016|232106|199173|1306.246743459525|1.5698481809216485|0.44540081444260327|584123.5|354980
3139|3668176.67|2.2485714367633185|0.845095863546048|0.47021449235471374|0.13260622116710677|3290.19|0.1706700379266751|0.4741870600067047|92.5|354990 São José dos Campos|3687.22|0.5258129399932954|186765.0|328.0|682.0|2.0277999982797033|0.5669811942874673|0.0967667019327536|5258.627532778824|395.5|589.5|0.8643695014662757|0.12886600893980968|67.5|2.04|142967|267.7427123921589|341783|5.285927684451669|10.059436258698252|0.48997353609899735|0.8293299620733249|3.7|165617|0.13563049853372433|1414.5|0.5100264639010026|São José dos Campos|89891|0.20495474185511087|41630242.963|1568.5|697554|0.23742534628143483|7017.0|59680.315736129385|2016|355771|299079|752.2058077224129|0.9777020847131549|0.4287539029236446|524704.17|354990
3144|62662645.83|1.4920257282010454|0.769031406357659|0.17125629090313862|0.09777162212561412|3694.73|0.5262855170827102|0.45075856156519345|1175.5|355030 São Paulo|486599.49|0.5492414384348066|4896632.0|2059.0|10421.5|1.2244949561321063|0.36151795454613506|0.19026166364299643|5211.9340956886|4346.5|9246.0|0.887204337187545|0.14192064554056602|2287.5|33.5|2388069|407.27490735192697|5704049|40.47266819463764|11.713707390120668|0.4744314108158121|0.4737144829172898|4.2|2784732|0.11279566281245502|14722.0|0.5255685891841879|São Paulo|1706300|0.1986264397089691|683066696.839|17938.5|12022916|0.23161868551689124|140832.92|56813.72945124128|2016|6318867|5143815|782.8119301507221|0.8668030284832731|0.4278342292335736|9411682.08|355030
3147|352340.22|2.6382969024229026|1.0199895151915757|0.3646889886718483|0.20513755612791468|1994.28|0.2289156626506024|0.4762443438914027|18.0|355060 São Roque|795.03|0.5237556561085973|19905.0|32.0|107.5|2.398969753607002|0.4729560321838033|0.10826704351195496|4015.456203131766|41.5|89.5|0.8325581395348837|0.15061655232147333|9.5|0.13|16599|226.84794748478564|43049|9.060583958243111|7.030747840357395|0.4906092585416999|0.7710843373493976|2.3|19761|0.16744186046511628|210.5|0.5093907414583001|São Roque|13216|0.18917101634262531|2581681.273|231.5|87746|0.22520684703576233|616.92|29422.21039135687|2016|44697|38170|446.3755612791466|1.2251270713194904|0.435005584300139|39167.67|355060
3148|485864.6|1.917155295477873|0.38932999846627575|0.04719151496560919|0.44831939217328726|2620.11|0.8666666666666667|0.49612403100775193|38.0|355070 São Sebastião|3302.13|0.5038759689922481|20311.0|4.0|71.0|1.8876605986243673|0.35393636224206887|0.3067448472764597|5732.171635539929|30.0|33.0|0.4647887323943662|0.10180389565956041|26.0|0.13|19715|239.62671511662202|42181|38.958129328346764|15.442479442196294|0.49764632319109026|0.13333333333333333|3.0|21013|0.5352112676056338|160.0|0.5023536768089097|São Sebastião|8629|0.23259517938674626|2613066.152|162.5|84761|0.24790882599308645|1308.92|30828.6376045587|2016|42580|35404|1213.5454985193662|0.837649390639563|0.4176920989606069|102861.33|355070
3151|1033651.32|0.7168889534818724|0.20123198694227995|0.060090107211930824|0.19703965388098246|2213.9|0.6260869565217392|0.46|70.5|355100 São Vicente|45362.49|0.54|36522.0|21.5|142.5|0.610683182595669|0.1607061006830708|0.10061599347113998|2888.9404017932|57.5|72.0|0.5052631578947369|0.1351971514494293|36.0|0.25|76733|102.0749253764715|171536|126.78311104651813|19.65762613332737|0.4794240293351519|0.3739130434782609|2.5|84235|0.49473684210526314|218.5|0.5205759706648482|São Vicente|48373|0.21446019519502735|5064791.097|256.5|357796|0.2354274502789299|7033.42|14155.52744301222|2016|186260|148455|700.7917919708437|0.3982716408232624|0.4149152030766135|250740.5|355100
3158|616838.86|2.391872564975095|1.1014121089576037|0.34932846739326984|0.21370682711117686|2752.99|0.19047619047619047|0.4540337711069418|26.0|355170 Sertãozinho|1689.66|0.5459662288930581|41534.0|42.5|160.0|1.989117390804031|0.4315234008975687|0.0821949335042988|5070.102908056748|52.5|134.0|0.8375|0.12154164817280663|10.0|0.25|25133|341.3884368167546|60435|13.888149134487351|3.9090266475974422|0.49674508063322975|0.8095238095238095|3.1|29643|0.1625|242.0|0.5032549193667702|Sertãozinho|14787|0.20658052637635416|5005873.251|291.0|121662|0.24365044138679293|475.58|41145.7418996893|2016|61227|52099|690.1004422087423|1.3151189360687807|0.4282273840640463|83959.0|355170
3163|5450716.3|1.4173136901041705|0.6502069812822907|0.23532755609276795|0.12301213159394687|2786.33|0.3596673596673597|0.4815539407490218|80.5|355220 Sorocaba|6042.89|0.5184460592509782|188158.0|154.0|506.0|1.3164590232072702|0.3675082937682513|0.1321807376754833|8329.245102818277|240.5|425.5|0.8409090909090909|0.1320951640187223|86.5|1.5|128137|287.52443051495476|320780|9.234146334009264|23.47442799358809|0.4901842431392085|0.6403326403326404|3.2|157070|0.1590909090909091|861.5|0.5098157568607915|Sorocaba|86444|0.19580627957830524|30530266.891999997|927.5|654407|0.24001882620448742|15361.83|46653.33178282017|2016|333627|282756|918.0259074245844|0.7732191128762376|0.43207973019848506|600762.58|355220
3165|1159673.08|0.7186588975144378|0.27157547026895207|0.05172866100360993|0.14040636558122693|3472.14|0.7171717171717171|0.48271276595744683|38.0|355240 Sumaré|19830.62|0.5172872340425532|55230.0|14.0|111.5|0.6706251408682287|0.1828977656913351|0.13116910468772516|4284.8811164523|49.5|73.5|0.6591928251121076|0.10597724677896712|35.5|0.6|59326|204.06956765924113|134410|73.27224424795764|6.744419770694235|0.4966320946782293|0.2828282828282828|3.9|68106|0.34080717488789236|181.5|0.5033679053217708|Sumaré|28682|0.21920389590715444|12237213.217|194.5|270643|0.25164515616513267|1825.33|45215.33243793485|2016|136233|114529|409.69590937138594|0.411981835850179|0.42317370114874575|110881.33|355240
3167|995730.22|0.6915197837050903|0.35355898715748973|0.08319034991940935|0.14904937693894177|2637.6|0.45454545454545453|0.43162393162393164|43.0|355250 Suzano|1787.23|0.5683760683760684|52981.0|24.0|145.0|0.5251390838662715|0.15251564151891714|0.0693252915995078|3451.464392797102|44.0|102.0|0.7034482758620689|0.11075755212395362|20.0|0.51|64679|183.6461637116761|141372|6.195012045269416|8.5492642853429|0.49003275620028075|0.5454545454545454|3.0|72744|0.296551724137931|151.5|0.5099672437997192|Suzano|31953|0.2241945267682282|10492191.93|199.5|288495|0.25214995060572976|2466.42|36368.71325326262|2016|147123|119119|745.974210991525|0.5026083640964315|0.41289797050208843|215209.83|355250
3170|1544477.63|0.3932420097913653|0.18219010545379768|0.03246952374424117|0.14070126955837842|2315.28|0.7631578947368421|0.4494949494949495|39.0|355280 Taboão da Serra|6855.37|0.5505050505050505|58191.0|9.0|89.5|0.32108751258194046|0.13709354469790716|0.10462402095366599|5572.050342192702|38.0|50.5|0.5642458100558659|0.1013373836057767|29.0|0.4|62919|209.93711735568198|132464|24.73228877672873|3.4435733793198|0.47789366591746246|0.23684210526315788|2.6|69317|0.43575418994413406|89.0|0.5221063340825375|Taboão da Serra|28089|0.22699444049599002|8113750.992000001|109.0|277183|0.250076664153285|954.5|29272.181165511596|2016|144719|116858|967.132435971903|0.3228913750121761|0.4215915117449483|268072.67|355280
3185|306415.44|2.5761183658596525|0.6821629225384934|0.2626962807291093|0.32201479573245656|2276.6|0.3473684210526316|0.4781115879828326|38.0|355400 Tatuí|10833.35|0.5218884120171674|27532.0|31.0|118.5|2.36002948977603|0.4025184946655707|0.1398222139364614|2596.586982128179|47.5|80.5|0.679324894514768|0.13463608091045445|16.5|0.19|25186|233.30819358173667|58432|91.802604930216|8.238240104400587|0.4951570669536553|0.6526315789473685|2.6|28595|0.3206751054852321|278.5|0.5048429330463448|Tatuí|15888|0.21342801698204344|3779661.7819999997|304.0|118007|0.24231613378867356|972.17|32029.132017592176|2016|59575|48338|692.5062072588914|1.0041777182709501|0.40961976831882857|81720.58|355400
3186|2785643.96|2.24501417042472|0.8345169292395097|0.3174436946518919|0.2569003095894177|2970.59|0.3423728813559322|0.44227642276422763|78.5|355410 Taubaté|27306.99|0.5577235772357724|77484.0|97.0|333.5|1.7803027823776205|0.4827107727954026|0.16526707814351074|9116.341346877598|147.5|255.0|0.7646176911544228|0.1371945831669754|50.5|0.76|61543|253.57533233409472|150321|89.36527624146666|16.453335776886174|0.49194282086357777|0.6576271186440678|3.4|71425|0.2353823088455772|544.0|0.5080571791364222|Taubaté|41922|0.20140657010269467|15525608.250999998|686.0|305566|0.23374655557228224|5027.58|50809.344792941614|2016|155245|130676|968.6319813068209|1.0914172388289272|0.4276522911580477|295981.0|355410
3198|616475.81|2.9979045259181083|1.1165664815919485|0.22943146882026338|0.3670903501124214|1773.01|0.5652173913043478|0.48148148148148145|24.0|355500 Tupã|32896.11|0.5185185185185185|14881.0|15.0|97.0|2.7837684883525293|0.5276923782866058|0.2982609094663424|9429.263372030775|34.5|73.0|0.7525773195876289|0.19911592407347925|19.5|0.08|11281|227.61131250095596|31763|503.1601890515304|38.117438321173466|0.48582878294253506|0.43478260869565216|2.0|13110|0.24742268041237114|182.0|0.5141712170574649|Tupã|13018|0.17254775998409275|1641861.01|196.0|65379|0.2005231037489102|2492.08|25112.97220820141|2016|33616|27970|1186.7393199651265|1.48365683170437|0.4278132121935178|77587.83|355500
3211|159939.78|2.978467147344607|0.5899969076024153|0.1912403769469898|0.25634348399277357|2946.59|0.4125|0.47714285714285715|31.5|355620 Valinhos|19238.26|0.5228571428571429|42622.0|23.5|104.0|2.7180547191614717|0.3255155352289188|0.134275158281929|1301.572077277388|40.0|72.5|0.6971153846153846|0.14319428394720138|16.5|0.26|22269|346.85307856317445|60534|156.55881251932746|12.274621181295878|0.4926189352386843|0.5875|3.3|26792|0.30288461538461536|334.0|0.5073810647613157|Valinhos|17596|0.18122263635031982|5357711.971|366.0|122882|0.21803030549632982|1508.33|43600.46199606126|2016|62348|56225|717.9394052831171|0.8463403915951889|0.457552774206149|88221.83|355620
3216|86610.61|0.313617793147875|0.11866619200189867|0.0|0.1737612097170659|2723.32|1.0|0.4263565891472868|20.5|355650 Várzea Paulista|61240.22|0.5736434108527132|16559.0|0.0|34.5|0.23309430571801523|0.0847615657156419|0.0847615657156419|734.1250911186831|10.0|14.0|0.4057971014492754|0.10320568241536558|10.0|0.12|26277|140.3566766685314|58890|519.0816931970368|42.93664920578413|0.49916086049941516|0.0|3.1|30126|0.5942028985507246|27.5|0.5008391395005849|Várzea Paulista|12176|0.22272796623099222|2539800.88|37.0|117978|0.2553526928749428|5065.58|21527.74991947651|2016|59088|49399|471.3329603824441|0.2924274017189646|0.4187136584786994|55606.92|355650
3218|185902.03|3.3265681912877514|0.8870848510100671|0.3494576685797234|0.2553729116544132|2993.33|0.45263157894736844|0.47729672650475186|19.0|355670 Vinhedo|4271.97|0.5227032734952481|35123.0|26.0|85.0|3.037593580731442|0.6384322791360332|0.28897461055630974|2498.649614924531|47.5|66.0|0.7764705882352941|0.13744438918831736|21.5|0.4|14257|472.07698821252404|36832|57.41817986317388|32.788537788470585|0.49504710958186043|0.5473684210526316|3.4|16765|0.2235294117647059|226.0|0.5049528904181395|Vinhedo|10226|0.19162376849773524|8085038.402000001|247.5|74401|0.2253329928361178|2439.5|108668.41039770973|2016|37569|33153|1023.3957876910256|1.1424577626644803|0.4455988494778296|76141.67|355670
3222|284558.29|0.8825086780020003|0.3277889375436001|0.08404844552400004|0.2773598702292001|2335.25|0.42857142857142855|0.47890818858560796|33.0|355700 Votorantim|621.55|0.5210918114143921|18013.0|10.0|72.0|0.8110674993066004|0.14708477966700007|0.06303633414300003|2391.66819354676|17.5|39.0|0.5416666666666666|0.11709629430403684|7.5|0.15|25750|151.39646492238126|59134|5.224031131544221|18.2707032333437|0.4970120777616218|0.5714285714285714|2.7|29756|0.4583333333333333|96.5|0.5029879222383782|Votorantim|13932|0.21642474722430008|3076564.9869999997|105.0|118979|0.2500945545012145|2173.83|25858.050471091534|2016|59845|49541|906.2607687070828|0.6051488077728002|0.41638440397044857|107826.0|355700
3223|830261.5|3.7578469491930404|0.8905880053000846|0.43443317331711445|0.36926819731954735|1956.78|0.24528301886792453|0.4538279400157853|34.0|355710 Votuporanga|1143.71|0.5461720599842147|23069.0|40.0|116.0|3.1224884332167604|0.5756239546451768|0.14119078132806223|9017.328453200687|53.0|82.0|0.7068965517241379|0.17176401590025414|13.0|0.13|15409|250.54847188131285|45001|12.421639116362925|23.78065469079219|0.48874818081108673|0.7547169811320755|2.2|19958|0.29310344827586204|287.5|0.5112518191889133|Votuporanga|15815|0.16735451919108543|2586155.522|346.0|92074|0.21676043182657428|2189.58|28087.79375285097|2016|47073|40892|1945.8126072506896|1.259856202619632|0.44412103308208617|179158.75|355710
3225|358280.45|4.041735939918592|1.3185805194060654|0.37264232070171416|0.601960671902769|1653.86|0.4583333333333333|0.48256880733944957|21.0|350010 Adamantina|38900.46|0.5174311926605505|9535.0|13.0|67.0|3.7694203978673393|0.6879550536031647|0.31531273290145045|10270.035257696498|24.0|46.0|0.6865671641791045|0.19712778765120678|11.0|0.05|5722|273.31880983775727|16936|1115.0736685203233|93.32310955684228|0.48546694949263314|0.5416666666666666|2.1|7356|0.31343283582089554|131.5|0.5145330505073669|Adamantina|6877|0.16401995069655448|1059096.842|141.0|34886|0.21085822392936995|3255.67|30358.792696210516|2015|17950|14931|1456.1549045462364|1.9205411913088344|0.42799403772286876|50799.42|350010
3243|595804.7|3.1563344668236115|0.7040718458453222|0.5558461940884123|0.18964164268898773|2378.61|0.205607476635514|0.49317465873293664|43.5|350160 Americana|53288.49|0.5068253412670634|75466.0|127.5|205.0|3.0713226959630306|0.6997122678524719|0.14386607376405966|2597.4570581567705|160.5|161.5|0.7878048780487805|0.14833900078472403|33.0|0.51|40916|328.9999128084402|112489|232.31532827622286|18.74108466300462|0.49040456883773653|0.794392523364486|3.0|51866|0.2121951219512195|704.5|0.5095954311622635|Americana|34026|0.17837649315546256|9882075.173|724.0|229380|0.22611387217717324|4298.83|43081.67744790305|2015|116891|102572|458.7994594123289|0.8937134885343099|0.44717063388264017|105239.42|350160
3246|361011.66|3.3850714784566924|1.2542580635965852|0.23517338692435968|0.4133350436852382|2145.35|0.5714285714285714|0.49252136752136755|29.0|350190 Amparo|971.63|0.5074786324786325|22965.0|16.5|117.0|3.2853009506706004|0.548737902823506|0.3135645158991463|5145.474836447598|38.5|88.0|0.7521367521367521|0.1636949302318952|22.0|0.17|12389|327.3185958010861|34544|13.848576844685795|55.16483516483517|0.4923533016918231|0.42857142857142855|2.7|15977|0.24786324786324787|230.5|0.5076466983081769|Amparo|11485|0.17657958124884196|3237532.503|237.5|70161|0.22771910320548452|3870.42|46144.33236413392|2015|35617|30310|817.8368324282721|1.667593107281823|0.43200638531377833|57380.25|350190
3248|188156.93|2.790942601369142|0.4914867474109181|0.41249780586273477|0.35106196243637|1883.13|0.41975308641975306|0.49201277955271566|20.0|350210 Andradina|953.2|0.5079872204472844|14169.0|23.5|48.0|2.7031771107600493|0.7109004739336493|0.29840266807091453|3302.737054590135|40.5|28.0|0.5833333333333334|0.16959803405301035|17.0|0.14|10186|248.70984728804635|28109|16.731613129717395|6.273828330700368|0.49340003510619623|0.5802469135802469|2.4|12471|0.4166666666666667|154.0|0.5065999648938038|Andradina|9662|0.17879585746884324|2634536.28|159.0|56970|0.21890468667719853|357.42|46244.2738283307|2015|28861|24651|981.1406003159558|0.8425487098472881|0.4327014218009479|55895.58|350210
3256|1422686.54|3.1405663418641656|0.8969332681648485|0.3769719532866755|0.309376982352513|2043.39|0.4105691056910569|0.4578096947935368|59.5|350280 Araçatuba|18775.51|0.5421903052064632|52921.0|72.5|232.0|2.6518027058786826|0.6395524173001529|0.2625804640134774|7397.419639978786|123.0|172.5|0.7435344827586207|0.16219153294994854|50.5|0.33|34200|275.16872744667796|92787|97.62538867108286|10.907072513804973|0.4824565052360104|0.5894308943089431|2.6|41578|0.25646551724137934|510.0|0.5175434947639895|Araçatuba|31193|0.1778267696883352|6447731.558999999|604.0|192322|0.2161895155000468|2097.67|33525.70979399132|2015|99535|85351|918.155905200653|1.2063102505173615|0.44379218186166947|176581.58|350280
3261|1281139.89|2.80570235272822|1.1854147627183746|0.2913868690480921|0.4083831119234624|2194.07|0.46122448979591835|0.477599671187834|92.5|350320 Araraquara|3096.1|0.522400328812166|72944.0|66.0|361.0|2.5650874381354773|0.5408316887635042|0.24944481971541216|5656.171838783592|122.5|268.5|0.7437673130193906|0.15813477084188732|56.5|0.43|40679|322.0442996340004|109314|13.669134625148452|5.225846898275079|0.4826161242897445|0.5387755102040817|2.8|51719|0.2562326869806094|581.0|0.5173838757102555|Araraquara|35818|0.1795958552425354|8337723.3610000005|635.5|226503|0.22833693151967083|1183.67|36810.65310834735|2015|117189|98287|797.5670520920252|1.5937978746418369|0.43393244239590645|180651.33|350320
3262|557816.0|2.4286157666045933|0.7332402234636871|0.2599317194289261|0.28708876474239603|2237.78|0.3020833333333333|0.47217537942664417|37.0|350330 Araras|1434.7|0.5278246205733558|36062.0|33.5|131.5|2.1725636250775913|0.37243947858473|0.11250775915580385|4328.1812538795775|48.0|94.5|0.7186311787072244|0.14398665425201737|14.5|0.24|24279|279.8106765983861|63542|11.132060831781502|8.921089385474861|0.493032278088144|0.6979166666666666|2.8|30579|0.2813688212927757|280.0|0.506967721911856|Araras|18557|0.18838454376163874|4565385.01|313.0|128880|0.23726722532588454|1149.75|35423.533597144626|2015|65338|55465|692.9921632526381|1.020328988206083|0.4303615766604593|89312.83|350330
3271|742890.16|2.8936782742437983|0.5866230232283|0.42394605040028394|0.3894388137397957|1953.98|0.4068965517241379|0.4873362445414847|39.5|350400 Assis|6323.87|0.5126637554585153|22734.0|43.0|99.0|2.750719722364633|0.7147927593958275|0.29084670899554366|7324.31044681942|72.5|59.5|0.601010101010101|0.15938399652955793|29.5|0.14|19037|224.13929092558269|49628|62.34836534290334|20.155479749181687|0.4892928974247742|0.593103448275862|2.5|23143|0.398989898989899|279.0|0.5107071025752258|Assis|16166|0.18768978980163267|2710980.6339999996|293.5|101428|0.22817170800962258|2044.33|26728.128662696687|2015|51800|43082|1925.949934929211|0.9760618369680956|0.4247545056591868|195345.25|350400
3272|327207.9|1.786248077049264|0.5759738697424157|0.44473931714287795|0.2369512755269432|2269.26|0.2129032258064516|0.49432404540763675|32.5|350410 Atibaia|1403.72|0.5056759545923633|37503.0|61.0|111.5|1.7461486304216276|0.5650376570257877|0.12029833988290961|2385.6101313074605|77.5|79.0|0.7085201793721974|0.148550222734199|16.5|0.29|27661|273.42719034113696|67271|10.234253676390175|2.7887342427401776|0.4904599771068614|0.7870967741935484|2.9|31589|0.2914798206278027|239.5|0.5095400228931386|Atibaia|20375|0.20167105330310078|5559804.672|245.0|137159|0.23030934900371103|382.5|40535.47103726332|2015|69888|57534|579.9631814171873|0.8129251452693589|0.4194693749589892|79547.17|350410
