|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
43|40799.11|2351.69|23.0|350380|350380 Artur Nogueira|1723.02|10.0|8539.0|47.0|18.0|24.0|0.05|11436|27827|2.4|12680|77.0|Artur Nogueira|7602|1184269.482|83.0|55340|170.83|2020|27513|23622|13225.25|8.0
44|144517.42|2780.7|16.0|350390|350390 Arujá|52.36|21.0|24460.0|48.0|27.0|32.0|0.28|19365|44842|2.8|21263|43.5|Arujá|12273|6155414.339|54.5|91157|18.5|2020|46315|38256|44302.92|6.0
45|530.56|2151.73|2.0|350395|350395 Aspásia|0.0|0.0|204.0|2.0|2.0|0.0|0.0|280|902|2.2|324|1.0|Aspásia|375|35205.302|1.0|1818|0.0|2020|916|839|141.92|2.0
46|732438.86|2459.74|57.5|350400|350400 Assis|21417.9|72.0|21319.0|247.0|98.5|189.5|0.15|19023|51644|2.5|20953|402.5|Assis|19280|3363335.667|414.0|105087|1564.75|2020|53443|45831|57619.58|26.5
47|394654.7|2636.71|33.0|350410|350410 Atibaia|637.79|96.0|39422.0|176.5|115.5|143.5|0.32|26972|70494|2.6|29598|315.5|Atibaia|25590|7140404.267000001|322.0|144088|601.58|2020|73594|61928|49778.83|19.5
48|33786.68|1894.86|12.0|350420|350420 Auriflama|50.23|2.0|2385.0|27.0|5.0|15.0|0.01|2440|7678|1.9|2967|27.0|Auriflama|3059|304810.51|27.0|15253|17.75|2020|7575|6787|14090.83|3.0
49|837.25|1947.96|2.0|350430|350430 Avaí|0.0|0.0|902.0|2.0|1.0|0.0|0.01|1169|2682|2.0|1254|1.0|Avaí|809|271908.05199999997|1.0|5436|0.0|2020|2754|2204|2134.92|1.0
50|3331.9|2540.9|10.0|350440|350440 Avanhandava|14.72|0.0|1565.0|13.0|2.0|3.0|0.01|2713|8297|2.5|3556|14.5|Avanhandava|1478|319465.294|15.5|13859|0.83|2020|5562|6112|5717.58|2.0
51|507540.47|2143.88|34.5|350450|350450 Avaré|9967.53|36.0|21022.0|101.0|58.5|66.5|0.12|17923|45269|2.1|19087|240.0|Avaré|15579|2737160.7569999998|257.0|91232|728.25|2020|45963|38643|51176.42|22.5
52|26570.87|2245.64|5.0|350460|350460 Bady Bassitt|89.97|0.0|3050.0|9.0|4.0|4.0|0.02|3255|8762|2.3|3836|10.0|Bady Bassitt|2881|353420.964|11.0|17761|16.5|2020|8999|7789|17558.33|4.0
