"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350090 Altair";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;1;-;3;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;23
"350110 Alto Alegre";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;3;-;19
"350140 Álvaro de Carvalho";-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350160 Americana";-;2;-;-;-;-;-;-;2;-;32;-;-;-;-;5;134;-;20;7;-;-;11;44;-;25;-;-;-;-;-;-;-;10;-;292
"350170 Américo Brasiliense";-;2;-;-;-;-;-;-;-;-;15;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;1;-;24
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350190 Amparo";-;1;-;-;-;-;-;-;-;-;32;-;-;-;-;-;37;-;14;6;-;-;34;16;-;2;-;-;-;-;-;-;-;5;-;147
"350200 Analândia";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350210 Andradina";-;2;-;-;-;-;-;-;-;1;18;-;-;-;-;-;19;-;24;-;-;-;-;16;-;3;-;-;-;-;-;-;-;2;-;85
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;2;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;20
"350230 Anhembi";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;19;-;-;-;1;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;28
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;3;-;2;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;28
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;17
"350280 Araçatuba";-;8;-;-;5;-;-;2;-;-;46;-;-;-;-;-;127;-;32;3;-;-;1;47;-;11;1;-;-;1;-;-;-;14;-;298
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;7;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;-;26
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350320 Araraquara";-;8;-;-;4;-;-;-;-;-;90;1;-;-;-;-;101;-;26;7;-;-;125;43;-;19;23;-;2;1;-;-;-;17;-;467
"350330 Araras";-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;24;-;3;3;-;-;59;17;-;2;3;-;1;-;-;-;-;7;-;158
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"350350 Areias";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350360 Areiópolis";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350380 Artur Nogueira";-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;9;-;1;-;-;-;-;8;-;1;-;-;-;-;-;-;-;5;-;47
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;1;14;-;3;-;-;-;-;9;-;3;-;-;-;-;-;-;-;1;-;47
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;6;-;-;-;-;-;-;-;-;51;-;-;-;-;-;83;-;68;1;-;-;-;21;-;11;1;-;-;-;-;1;-;2;-;245
"350410 Atibaia";-;1;-;-;-;-;-;-;-;-;32;-;-;-;-;7;60;-;12;-;-;-;6;33;-;9;3;-;-;-;-;-;-;9;-;172
"350420 Auriflama";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;9;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;27
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"350450 Avaré";-;4;-;-;-;-;-;-;-;-;29;-;-;-;-;-;37;-;10;5;-;-;-;7;-;1;-;-;-;-;-;1;-;4;-;98
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"350470 Balbinos";-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350520 Bariri";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;5;-;3;-;-;-;-;4;-;4;1;-;-;-;-;-;-;3;-;30
"350530 Barra Bonita";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;18;-;4;-;-;-;-;4;-;1;-;-;-;-;-;-;-;2;-;42
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;7;-;-;1;-;-;-;-;-;37;-;-;-;-;-;39;-;6;1;-;-;15;30;-;2;-;-;4;1;-;1;-;7;-;151
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;6;-;-;1;-;-;1;5;-;1;-;-;-;-;-;-;-;1;-;29
"350570 Barueri";-;-;-;-;-;-;-;-;-;-;51;-;-;-;7;4;76;-;23;-;-;-;7;103;-;15;7;-;-;-;-;-;-;2;-;295
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;4;-;2;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;34
"350590 Batatais";-;-;-;-;-;-;-;1;-;-;23;-;-;-;-;1;21;-;6;1;-;-;-;7;-;10;-;-;-;-;-;-;-;5;-;75
"350600 Bauru";1;15;-;-;3;-;-;-;-;-;85;-;-;-;-;3;210;-;50;4;-;-;2;43;-;16;-;1;2;1;-;-;-;12;-;448
