"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"355170 Sertãozinho";-;1;-;-;-;-;13;-;41;143;-;1;-;2;1;-;6;-;-;-;1;1;-;14;-;-;3;-;-;227
"355180 Sete Barras";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;7
"355190 Severínia";-;-;-;-;-;-;2;-;1;5;-;-;-;-;-;-;2;-;-;-;-;1;-;2;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;5
"355210 Socorro";-;-;-;-;1;-;5;-;1;29;-;-;-;1;-;-;2;5;-;-;-;1;-;5;-;-;-;-;-;50
"355220 Sorocaba";-;1;-;1;6;-;34;-;104;371;-;1;6;7;2;1;23;-;2;-;1;2;-;68;-;-;9;13;-;652
"355230 Sud Mennucci";-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355240 Sumaré";-;-;-;-;1;-;24;-;14;84;-;1;-;1;1;-;15;2;1;-;1;1;-;19;1;-;-;-;-;166
"355255 Suzanápolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355250 Suzano";-;1;-;-;2;-;20;-;44;58;-;2;-;2;-;-;9;-;1;-;1;1;-;19;-;-;5;-;-;165
"355260 Tabapuã";-;-;-;-;-;-;1;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;10
"355270 Tabatinga";-;-;-;-;-;-;4;-;-;26;-;-;-;1;-;-;1;-;-;-;1;1;-;5;-;-;-;-;-;39
"355280 Taboão da Serra";-;1;-;-;3;-;11;1;26;42;-;1;1;3;-;-;10;-;-;1;1;-;-;7;1;-;-;-;-;109
"355290 Taciba";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;12
"355310 Taiaçu";-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355320 Taiúva";-;-;-;-;-;-;3;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;12
"355330 Tambaú";-;-;-;-;-;-;6;-;-;22;-;-;-;1;-;-;1;1;-;-;1;1;-;7;-;-;1;-;-;41
"355340 Tanabi";-;-;-;-;-;-;6;-;13;6;-;-;-;1;-;-;-;3;-;-;-;1;-;3;-;-;1;-;-;34
"355350 Tapiraí";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;5
"355360 Tapiratiba";-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"355365 Taquaral";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355370 Taquaritinga";-;-;-;-;2;-;8;-;10;89;1;-;-;1;-;-;2;-;-;-;1;1;-;10;-;-;-;1;-;126
"355380 Taquarituba";-;-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;12
"355385 Taquarivaí";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355390 Tarabai";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;13
"355400 Tatuí";-;-;-;-;-;-;15;1;30;202;-;-;-;1;-;-;4;1;-;-;2;1;-;19;-;-;1;1;-;278
"355410 Taubaté";-;-;-;-;3;-;53;-;125;363;-;-;1;4;2;1;5;-;1;-;1;2;-;31;-;-;1;3;-;596
"355420 Tejupá";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;9;-;3;12;-;-;-;1;-;-;-;-;1;-;-;1;-;4;-;-;-;-;-;31
"355440 Terra Roxa";-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;15
"355450 Tietê";-;-;-;-;-;-;2;-;11;64;-;-;-;1;-;-;-;6;-;-;-;1;-;10;-;-;-;-;-;95
"355460 Timburi";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355465 Torre de Pedra";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355480 Tremembé";-;-;-;-;-;-;4;-;5;10;-;-;-;1;-;-;-;8;1;-;-;1;-;2;-;-;-;-;-;32
"355490 Três Fronteiras";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;4
"355500 Tupã";-;-;1;-;-;-;13;-;16;114;-;-;3;2;-;-;7;-;1;-;-;2;-;8;-;-;-;-;-;167
"355510 Tupi Paulista";-;-;-;-;-;-;7;-;-;20;-;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;32
"355520 Turiúba";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355535 Ubarana";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355540 Ubatuba";-;-;-;-;1;-;20;-;5;28;-;-;-;1;-;-;-;4;-;-;-;-;-;4;1;-;-;-;-;64
"355550 Ubirajara";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355560 Uchoa";1;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;9
"355570 União Paulista";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;7
"355590 Uru";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355600 Urupês";-;-;-;-;-;-;3;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;11
"355610 Valentim Gentil";1;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;9
"355620 Valinhos";-;-;-;-;2;-;13;-;23;235;-;-;-;2;-;-;2;-;1;-;-;1;-;11;-;-;-;-;-;290
"355630 Valparaíso";-;-;-;-;-;-;6;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;22
"355635 Vargem";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"355640 Vargem Grande do Sul";-;-;-;-;-;-;2;-;4;57;-;-;-;1;-;-;2;4;-;-;1;1;-;5;-;-;-;-;-;77
"355645 Vargem Grande Paulista";-;-;-;-;1;-;8;-;8;1;-;-;-;-;-;-;3;-;1;-;-;2;-;1;1;-;1;-;-;27
"355650 Várzea Paulista";-;-;-;-;2;-;13;-;5;6;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;-;-;32
"355660 Vera Cruz";-;-;-;-;-;-;2;-;2;7;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;-;1;-;5;-;29;154;-;-;-;1;-;-;2;-;-;-;-;1;-;13;-;-;-;-;-;206
"355680 Viradouro";-;-;-;-;-;-;3;-;5;17;-;1;-;1;-;-;4;-;-;-;-;1;-;4;-;-;-;-;-;36
"355690 Vista Alegre do Alto";-;-;-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;9
"355695 Vitória Brasil";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355700 Votorantim";-;1;-;-;1;-;13;-;7;42;-;-;-;2;-;1;2;1;-;-;-;1;-;8;-;-;1;1;-;81
"355710 Votuporanga";-;1;-;-;2;-;12;-;25;198;-;1;-;2;-;-;1;-;2;-;-;1;-;14;-;-;3;-;-;262
"355715 Zacarias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"Total";27;48;11;27;354;2;4333;66;8090;37407;28;155;168;723;114;16;1370;353;126;19;187;631;2;3446;150;24;488;113;3;58481
&
